loss,grad_norm,learning_rate,epoch,step,eval_loss,eval_accuracy,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
9.315234375,10.791680335998535,3.888888888888889e-05,0.08,50,,,,,,,,,,
6.93812744140625,9.90767765045166,4.949548281105951e-05,0.16,100,,,,,,,,,,
3.221961669921875,6.954741954803467,4.7166301698482815e-05,0.24,150,,,,,,,,,,
2.72793701171875,7.487104892730713,4.311671346631774e-05,0.32,200,,,,,,,,,,
2.55109130859375,6.784964084625244,3.766102135381393e-05,0.4,250,,,,,,,,,,
2.447193298339844,6.974307537078857,3.122266142533191e-05,0.48,300,,,,,,,,,,
2.3574984741210936,7.361261367797852,2.4301338160676324e-05,0.56,350,,,,,,,,,,
2.33624755859375,7.868002891540527,1.7434240576917226e-05,0.64,400,,,,,,,,,,
2.2140383911132813,7.017116546630859,1.1154349039237322e-05,0.72,450,,,,,,,,,,
2.256194763183594,6.355191230773926,5.949068720525991e-06,0.8,500,,,,,,,,,,
2.239118194580078,7.620035648345947,2.222400317046308e-06,0.88,550,,,,,,,,,,
2.244822998046875,7.601775646209717,2.635840882200924e-07,0.96,600,,,,,,,,,,
,,,1.0,625,2.233781576156616,0.314,2.2066,906.353,28.55,,,,,
,,,1.0,625,,,,,,34.5879,289.118,18.07,7.9227638267904e+17,3.3559251831054686
,,,1.0,625,2.233781576156616,0.314,2.2027,907.959,28.601,,,,,
,,,1.0,625,6.532442092895508,0.0005,2.2042,907.356,28.582,,,,,
,,,1.0,625,8.487034797668457,0.0785,8.032,996.019,31.126,,,,,
,,,1.0,625,8.09611701965332,0.0629,9.915,1008.574,31.568,,,,,
