loss,grad_norm,learning_rate,epoch,step,eval_loss,eval_accuracy,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
8.183550415039063,8.139047622680664,1.0958466453674122e-05,0.08,50,,,,,,,,,,
8.01799072265625,8.432027816772461,2.2140575079872203e-05,0.16,100,,,,,,,,,,
7.473536987304687,8.497879981994629,3.3322683706070285e-05,0.24,150,,,,,,,,,,
5.53214111328125,6.859851360321045,4.450479233226837e-05,0.32,200,,,,,,,,,,
3.815128173828125,7.120980262756348,5.568690095846645e-05,0.4,250,,,,,,,,,,
3.2460336303710937,6.691699028015137,6.686900958466452e-05,0.48,300,,,,,,,,,,
3.0060601806640626,8.948031425476074,6.997169562178517e-05,0.56,350,,,,,,,,,,
2.7831106567382813,6.01963472366333,6.98385753163966e-05,0.64,400,,,,,,,,,,
2.61270263671875,5.78140115737915,6.959677327312739e-05,0.72,450,,,,,,,,,,
2.4575828552246093,6.135524272918701,6.924704381290047e-05,0.8,500,,,,,,,,,,
2.3563446044921874,8.277875900268555,6.87904779448969e-05,0.88,550,,,,,,,,,,
2.2372129821777342,6.828299522399902,6.822849996306502e-05,0.96,600,,,,,,,,,,
,,,1.0,625,2.1236777305603027,0.4075,2.2486,889.43,28.017,,,,,
2.1301124572753904,5.929714679718018,6.756286300292088e-05,1.04,650,,,,,,,,,,
2.0776747131347655,6.568204402923584,6.679564357250102e-05,1.12,700,,,,,,,,,,
2.0095675659179686,6.70974588394165,6.592923507452862e-05,1.2,750,,,,,,,,,,
1.9917915344238282,6.679939270019531,6.496634034000119e-05,1.28,800,,,,,,,,,,
1.9651974487304686,6.0224432945251465,6.390996319649187e-05,1.3599999999999999,850,,,,,,,,,,
1.8750650024414062,6.170698642730713,6.276339909746773e-05,1.44,900,,,,,,,,,,
1.901840362548828,7.027879238128662,6.15302248418576e-05,1.52,950,,,,,,,,,,
1.8684266662597657,5.765283107757568,6.0214287415940104e-05,1.6,1000,,,,,,,,,,
1.8836492919921874,4.763380527496338,5.8819691992360556e-05,1.6800000000000002,1050,,,,,,,,,,
1.8577880859375,6.061044216156006,5.735078912371472e-05,1.76,1100,,,,,,,,,,
1.8258554077148437,7.318325519561768,5.581216117065003e-05,1.8399999999999999,1150,,,,,,,,,,
1.7396881103515625,6.073103427886963,5.420860800682295e-05,1.92,1200,,,,,,,,,,
1.798590087890625,8.072101593017578,5.254513204530712e-05,2.0,1250,,,,,,,,,,
,,,2.0,1250,1.7774816751480103,0.4595,2.1922,912.325,28.738,,,,,
1.8064990234375,6.994215488433838,5.082692263316331e-05,2.08,1300,,,,,,,,,,
1.7887005615234375,6.439121723175049,4.905933986285393e-05,2.16,1350,,,,,,,,,,
1.7238386535644532,5.007115840911865,4.724789785100346e-05,2.24,1400,,,,,,,,,,
1.7282461547851562,5.994909763336182,4.5398247536668105e-05,2.32,1450,,,,,,,,,,
1.7317198181152345,6.123948097229004,4.351615905277689e-05,2.4,1500,,,,,,,,,,
1.753177947998047,5.611356735229492,4.160750372573786e-05,2.48,1550,,,,,,,,,,
1.6387461853027343,6.2371344566345215,3.967823575936315e-05,2.56,1600,,,,,,,,,,
1.7715953063964844,6.288631439208984,3.773437366025124e-05,2.64,1650,,,,,,,,,,
1.6728453063964843,7.095812797546387,3.578198146257151e-05,2.7199999999999998,1700,,,,,,,,,,
1.6588534545898437,5.399089336395264,3.3827149810821944e-05,2.8,1750,,,,,,,,,,
1.7387208557128906,5.640202522277832,3.187597695957371e-05,2.88,1800,,,,,,,,,,
1.6665963745117187,6.60554838180542,2.9934549749475528e-05,2.96,1850,,,,,,,,,,
