experiment,method,step,eval_type,eval_accuracy,eval_loss
rankext_no_ortho_step_eval,RankExt,2,current_step,0.4345,1.855937123298645
rankext_no_ortho_step_eval,RankExt,2,first_step,0.007,6.287508964538574
rankext_no_ortho_step_eval,RankExt,2,later_steps,0.4345,1.855937123298645
rankext_no_ortho_step_eval,RankExt,2,all_seen,0.22075,4.071725368499756
rankext_no_ortho_step_eval,RankExt,3,current_step,0.452,1.758280634880066
rankext_no_ortho_step_eval,RankExt,3,first_step,0.0005,7.69602632522583
rankext_no_ortho_step_eval,RankExt,3,later_steps,0.2265,3.967515230178833
rankext_no_ortho_step_eval,RankExt,3,all_seen,0.15116666666666667,5.210353374481201
rankext_no_ortho_step_eval,RankExt,4,current_step,0.4205,1.8271167278289795
rankext_no_ortho_step_eval,RankExt,4,first_step,0.0005,7.355511665344238
rankext_no_ortho_step_eval,RankExt,4,later_steps,0.14166666666666666,5.15004301071167
rankext_no_ortho_step_eval,RankExt,4,all_seen,0.106375,5.701409816741943
rankext_no_ortho_step_eval,RankExt,5,current_step,0.4725,1.7226017713546753
rankext_no_ortho_step_eval,RankExt,5,first_step,0.001,6.578081130981445
rankext_no_ortho_step_eval,RankExt,5,later_steps,0.120625,5.7007246017456055
rankext_no_ortho_step_eval,RankExt,5,all_seen,0.0967,5.87619686126709
rankext_ortho_step_eval,RankExt+Ortho,2,current_step,0.4325,1.8562678098678589
rankext_ortho_step_eval,RankExt+Ortho,2,first_step,0.007,6.3013529777526855
rankext_ortho_step_eval,RankExt+Ortho,2,later_steps,0.4325,1.8562678098678589
rankext_ortho_step_eval,RankExt+Ortho,2,all_seen,0.21975,4.07880973815918
rankext_ortho_step_eval,RankExt+Ortho,3,current_step,0.47,1.712931513786316
rankext_ortho_step_eval,RankExt+Ortho,3,first_step,0.0,7.380675792694092
rankext_ortho_step_eval,RankExt+Ortho,3,later_steps,0.2355,4.0722222328186035
rankext_ortho_step_eval,RankExt+Ortho,3,all_seen,0.157,5.175039768218994
rankext_ortho_step_eval,RankExt+Ortho,4,current_step,0.4285,1.7686189413070679
rankext_ortho_step_eval,RankExt+Ortho,4,first_step,0.0005,7.238833904266357
rankext_ortho_step_eval,RankExt+Ortho,4,later_steps,0.14333333333333334,5.162189960479736
rankext_ortho_step_eval,RankExt+Ortho,4,all_seen,0.107625,5.681353569030762
rankext_ortho_step_eval,RankExt+Ortho,5,current_step,0.4985,1.586403727531433
rankext_ortho_step_eval,RankExt+Ortho,5,first_step,0.0,7.073836803436279
rankext_ortho_step_eval,RankExt+Ortho,5,later_steps,0.125125,5.853038311004639
rankext_ortho_step_eval,RankExt+Ortho,5,all_seen,0.1001,6.097197532653809
ft_step_2,full_finetune,2,current_step,0.5935,1.3375835418701172
ft_step_2,full_finetune,2,first_step,0.0,7.827011585235596
ft_step_2,full_finetune,2,later_steps_seen_so_far,0.5935,1.3375835418701172
ft_step_2,full_finetune,2,all_seen,0.29675,4.5822930335998535
ft_step_3,full_finetune,3,current_step,0.6155,1.2372201681137085
ft_step_3,full_finetune,3,first_step,0.0,9.021875381469727
ft_step_3,full_finetune,3,later_steps_seen_so_far,0.308,4.462298393249512
ft_step_3,full_finetune,3,all_seen,0.20533333333333334,5.982156276702881
ft_step_4,full_finetune,4,current_step,0.5995,1.2572109699249268
ft_step_4,full_finetune,4,first_step,0.0,8.979345321655273
ft_step_4,full_finetune,4,later_steps_seen_so_far,0.2005,5.612240314483643
ft_step_4,full_finetune,4,all_seen,0.150375,6.454017162322998
ft_step_5,full_finetune,5,current_step,0.659,1.077209234237671
ft_step_5,full_finetune,5,first_step,0.0,9.204109191894531
ft_step_5,full_finetune,5,later_steps_seen_so_far,0.166,6.38881254196167
ft_step_5,full_finetune,5,all_seen,0.1328,6.951871871948242
rankext_no_ortho_final_eval,RankExt,5,first_step,0.001,6.577991962432861
rankext_no_ortho_final_eval,RankExt,5,later_steps,0.121,5.700713634490967
rankext_no_ortho_final_eval,RankExt,5,all_seen,0.097,5.876169681549072
rankext_ortho_final_eval,RankExt+Ortho,5,first_step,0.0,7.0737690925598145
rankext_ortho_final_eval,RankExt+Ortho,5,later_steps,0.125125,5.853035926818848
rankext_ortho_final_eval,RankExt+Ortho,5,all_seen,0.1001,6.0971808433532715
ft_final_eval,full_finetune,5,first_step,0.0,9.204109191894531
ft_final_eval,full_finetune,5,later_steps,0.166,6.38881254196167
ft_final_eval,full_finetune,5,all_seen,0.1328,6.951871871948242
joint_final_eval,joint_upper_bound,5,first_step,0.4365,2.1019601821899414
joint_final_eval,joint_upper_bound,5,later_steps,0.458,2.0817465782165527
joint_final_eval,joint_upper_bound,5,all_seen,0.4537,2.0857884883880615
