method,adapter_name,step,eval_stage,eval_set,accuracy,loss,rank_total,rank_alpha,replay_per_old_step
DO-Merge - Normal,DO_merge_normal,5,final,all_seen,0.6647,2.558974504470825,,,
Full FT,full_finetune,5,final,all_seen,0.3371,3.0050125122070312,,,
Full FT + Replay,full_finetune_replay,5,final,all_seen,0.7888,0.8507919907569885,,,250.0
Joint,joint_upper_bound,5,final,all_seen,0.9156,0.30546796321868896,,,
RankExt,RankExt-r40,5,final,all_seen,0.4819,3.0164897441864014,40.0,80.0,
RankExt + Stitched,RankExt-stitched-r40,5,final,all_seen,0.4819,3.0164897441864014,40.0,80.0,
Simple AVG - Normal,L12345_avg_normal,5,final,all_seen,0.6141,2.8262054920196533,,,
Simple AVG - Orth,L12345_avg_orth,5,final,all_seen,0.6153,2.8221700191497803,,,
Simple AVG - Replay,L12345_avg_replay,5,final,all_seen,0.6305,2.762110710144043,,,
DO-Merge - Normal,DO_merge_normal,5,final,first_step,0.6285,2.659869432449341,,,
Full FT,full_finetune,5,final,first_step,0.1745,4.0520172119140625,,,
Full FT + Replay,full_finetune_replay,5,final,first_step,0.8,0.7943355441093445,,,250.0
Joint,joint_upper_bound,5,final,first_step,0.922,0.2870810627937317,,,
RankExt,RankExt-r40,5,final,first_step,0.617,2.450451612472534,40.0,80.0,
RankExt + Stitched,RankExt-stitched-r40,5,final,first_step,0.617,2.450451612472534,40.0,80.0,
Simple AVG - Normal,L12345_avg_normal,5,final,first_step,0.62,2.8327202796936035,,,
Simple AVG - Orth,L12345_avg_orth,5,final,first_step,0.6155,2.843573808670044,,,
Simple AVG - Replay,L12345_avg_replay,5,final,first_step,0.632,2.793536424636841,,,
DO-Merge - Normal,DO_merge_normal,5,final,later_steps,0.67375,2.533750534057617,,,
Full FT,full_finetune,5,final,later_steps,0.37775,2.7432613372802734,,,
Full FT + Replay,full_finetune_replay,5,final,later_steps,0.786,0.8649068474769592,,,250.0
Joint,joint_upper_bound,5,final,later_steps,0.914,0.310063898563385,,,
RankExt,RankExt-r40,5,final,later_steps,0.448125,3.1580004692077637,40.0,80.0,
RankExt + Stitched,RankExt-stitched-r40,5,final,later_steps,0.448125,3.1580004692077637,40.0,80.0,
Simple AVG - Normal,L12345_avg_normal,5,final,later_steps,0.612625,2.8245761394500732,,,
Simple AVG - Orth,L12345_avg_orth,5,final,later_steps,0.61525,2.8168187141418457,,,
Simple AVG - Replay,L12345_avg_replay,5,final,later_steps,0.630125,2.754254102706909,,,
