experiment,method,step,eval_type,eval_accuracy,eval_loss,replay_per_old_step
ft_replay_step_eval,full_finetune_replay,1,current_step,0.9695,0.1914675533771515,250
ft_replay_step_eval,full_finetune_replay,1,first_step,0.9695,0.1914675533771515,250
ft_replay_step_eval,full_finetune_replay,1,later_steps,,,250
ft_replay_step_eval,full_finetune_replay,1,all_seen,0.9695,0.1914675533771515,250
ft_replay_step_eval,full_finetune_replay,2,current_step,0.967,0.1851704716682434,250
ft_replay_step_eval,full_finetune_replay,2,first_step,0.6495,1.2408641576766968,250
ft_replay_step_eval,full_finetune_replay,2,later_steps,0.967,0.1851704716682434,250
ft_replay_step_eval,full_finetune_replay,2,all_seen,0.80825,0.7130183577537537,250
ft_replay_step_eval,full_finetune_replay,3,current_step,0.9345,0.410947322845459,250
ft_replay_step_eval,full_finetune_replay,3,first_step,0.8095,0.8193241953849792,250
ft_replay_step_eval,full_finetune_replay,3,later_steps,0.85175,0.6649970412254333,250
ft_replay_step_eval,full_finetune_replay,3,all_seen,0.8376666666666667,0.7164396047592163,250
ft_replay_step_eval,full_finetune_replay,4,current_step,0.949,0.31264403462409973,250
ft_replay_step_eval,full_finetune_replay,4,first_step,0.797,0.8974789977073669,250
ft_replay_step_eval,full_finetune_replay,4,later_steps,0.8065,0.866525411605835,250
ft_replay_step_eval,full_finetune_replay,4,all_seen,0.804125,0.8742632865905762,250
ft_replay_step_eval,full_finetune_replay,5,current_step,0.97,0.23562180995941162,250
ft_replay_step_eval,full_finetune_replay,5,first_step,0.8,0.7943355441093445,250
ft_replay_step_eval,full_finetune_replay,5,later_steps,0.786,0.8649068474769592,250
ft_replay_step_eval,full_finetune_replay,5,all_seen,0.7888,0.8507919907569885,250
