loss,grad_norm,learning_rate,epoch,step,eval_loss,eval_accuracy,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
4.61123291015625,7.161776542663574,3.888888888888889e-05,0.08,50,,,,,,,,,,
4.0013818359375,8.010255813598633,4.949548281105951e-05,0.16,100,,,,,,,,,,
2.96305419921875,7.040750503540039,4.7166301698482815e-05,0.24,150,,,,,,,,,,
2.06999267578125,5.304813861846924,4.311671346631774e-05,0.32,200,,,,,,,,,,
1.5206640625,6.617999076843262,3.766102135381393e-05,0.4,250,,,,,,,,,,
1.1183297729492188,4.896823406219482,3.122266142533191e-05,0.48,300,,,,,,,,,,
0.898856201171875,4.161567687988281,2.4301338160676324e-05,0.56,350,,,,,,,,,,
0.7186038208007812,4.7627363204956055,1.7434240576917226e-05,0.64,400,,,,,,,,,,
0.6229345703125,4.832510948181152,1.1154349039237322e-05,0.72,450,,,,,,,,,,
0.6021597290039062,5.316658973693848,5.949068720525991e-06,0.8,500,,,,,,,,,,
0.5646668243408203,5.956979751586914,2.222400317046308e-06,0.88,550,,,,,,,,,,
0.5901318359375,3.848388910293579,2.635840882200924e-07,0.96,600,,,,,,,,,,
,,,1.0,625,0.8614252805709839,0.902,2.1903,913.122,28.763,,,,,
,,,1.0,625,,,,,,34.8976,286.553,17.91,7.9227638267904e+17,1.6443593078613281
,,,1.0,625,0.8614252805709839,0.902,2.1819,916.621,28.874,,,,,
,,,1.0,625,6.222912311553955,0.0,2.2316,896.238,28.231,,,,,
,,,1.0,625,0.8614252805709839,0.902,2.2467,890.189,28.041,,,,,
,,,1.0,625,3.542168378829956,0.451,4.1412,965.908,30.185,,,,,
