loss,grad_norm,learning_rate,epoch,step,eval_loss,eval_model_preparation_time,eval_accuracy,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
6.8193603515625,7.396015644073486,3.888888888888889e-05,0.08,50,,,,,,,,,,,
6.0729345703125,7.596632957458496,4.949548281105951e-05,0.16,100,,,,,,,,,,,
4.4536376953125,7.5218682289123535,4.7166301698482815e-05,0.24,150,,,,,,,,,,,
3.112198486328125,6.487932205200195,4.311671346631774e-05,0.32,200,,,,,,,,,,,
2.36704833984375,6.1585373878479,3.766102135381393e-05,0.4,250,,,,,,,,,,,
1.9430523681640626,6.168921947479248,3.122266142533191e-05,0.48,300,,,,,,,,,,,
1.7580352783203126,7.995811939239502,2.4301338160676324e-05,0.56,350,,,,,,,,,,,
1.5471078491210937,5.6787238121032715,1.7434240576917226e-05,0.64,400,,,,,,,,,,,
1.4067446899414062,4.852184772491455,1.1154349039237322e-05,0.72,450,,,,,,,,,,,
1.3512991333007813,5.263604640960693,5.949068720525991e-06,0.8,500,,,,,,,,,,,
1.3630712890625,7.39485502243042,2.222400317046308e-06,0.88,550,,,,,,,,,,,
1.3008401489257813,6.205698013305664,2.635840882200924e-07,0.96,600,,,,,,,,,,,
,,,1.0,625,2.270195722579956,0.004,0.6795,2.2312,896.373,28.236,,,,,
,,,1.0,625,,,,,,,37.1133,269.445,16.84,7.882810564608e+17,2.7332712890625
,,,1.0,625,2.270195722579956,0.004,0.6795,2.2445,891.085,28.069,,,,,
,,,1.0,625,2.473153829574585,0.004,0.5825,2.252,888.082,27.975,,,,,
,,,1.0,625,2.0230932235717773,0.004,0.71975,4.1235,970.043,30.314,,,,,
,,,1.0,625,2.173112630844116,0.004,0.674,6.1364,977.764,30.637,,,,,
