method,eval_set,accuracy,loss
seq_ft_no_replay,first_step,0.0,8.991137504577637
seq_ft_no_replay,later_steps,0.2655,5.658621311187744
seq_ft_no_replay,all_seen,0.2124,6.325124263763428
simple_avg_no_replay,first_step,0.6275,2.640626907348633
simple_avg_no_replay,later_steps,0.50975,2.866466760635376
simple_avg_no_replay,all_seen,0.5333,2.8213002681732178
simple_avg_replay,first_step,0.6725,2.4528613090515137
simple_avg_replay,later_steps,0.55075,2.642648458480835
simple_avg_replay,all_seen,0.5751,2.6046910285949707
do_merging_simple,first_step,0.591,2.4657652378082275
do_merging_simple,later_steps,0.427125,2.838935136795044
do_merging_simple,all_seen,0.4599,2.764301300048828
do_merging_datafree_orth,first_step,0.0045,4.93916130065918
do_merging_datafree_orth,later_steps,0.009875,4.770499229431152
do_merging_datafree_orth,all_seen,0.0088,4.804230690002441
simple_avg_replay_orth,first_step,0.6735,2.453307628631592
simple_avg_replay_orth,later_steps,0.551875,2.6421000957489014
simple_avg_replay_orth,all_seen,0.5762,2.604342460632324
rank_extension,first_step,0.004,6.934604644775391
rank_extension,later_steps,0.24375,5.2200822830200195
rank_extension,all_seen,0.1958,5.562985897064209
rank_extension_orth,first_step,0.0045,6.948871612548828
rank_extension_orth,later_steps,0.242,5.232728481292725
rank_extension_orth,all_seen,0.1945,5.575957775115967
joint_upper_bound,first_step,0.8675,0.4427042305469513
joint_upper_bound,later_steps,0.85575,0.48113808035850525
joint_upper_bound,all_seen,0.8581,0.47345253825187683
