method,eval_set,accuracy,loss
seq_ft_no_replay,first_step,0.0,9.988940238952637
seq_ft_no_replay,later_steps,0.25725,6.451078414916992
seq_ft_no_replay,all_seen,0.2058,7.158654689788818
simple_avg_no_replay,first_step,0.56,2.5233664512634277
simple_avg_no_replay,later_steps,0.51625,2.5395727157592773
simple_avg_no_replay,all_seen,0.525,2.5363309383392334
simple_avg_replay,first_step,0.642,2.186891555786133
simple_avg_replay,later_steps,0.60375,2.2170567512512207
simple_avg_replay,all_seen,0.6114,2.2110230922698975
do_merging_simple,first_step,0.576,2.1903679370880127
do_merging_simple,later_steps,0.472875,2.462238311767578
do_merging_simple,all_seen,0.4935,2.4078638553619385
orthogonal_loss,first_step,0.0,8.562477111816406
orthogonal_loss,later_steps,0.23875,5.95158576965332
orthogonal_loss,all_seen,0.191,6.473761558532715
rank_extension,first_step,0.004,7.740591049194336
rank_extension,later_steps,0.259625,5.632811546325684
rank_extension,all_seen,0.2085,6.0543646812438965
joint_upper_bound,first_step,0.8695,0.4733048379421234
joint_upper_bound,later_steps,0.86175,0.5266364812850952
joint_upper_bound,all_seen,0.8633,0.5159714818000793
