class_id,weight_max_abs_diff,bias_abs_diff,row_max_abs_diff
0,0.024512779,0.007503097,0.024512779
1,0.010399138,0.0038843427,0.010399138
2,0.016568447,0.007836971,0.016568447
3,0.011202924,0.0049085934,0.011202924
4,0.0092417905,0.0030894177,0.0092417905
5,0.011170885,0.0034064483,0.011170885
6,0.015820032,0.005524641,0.015820032
7,0.008804048,0.0032583466,0.008804048
8,0.019138474,0.009007902,0.019138474
9,0.020675343,0.007930528,0.020675343
10,0.010569749,0.004241498,0.010569749
11,0.010350337,0.004420271,0.010350337
12,0.010581605,0.0024817064,0.010581605
13,0.018224075,0.006323061,0.018224075
14,0.017345458,0.006656821,0.017345458
15,0.012276104,0.0038826298,0.012276104
16,0.013058651,0.0040749335,0.013058651
17,0.013513302,0.0038822666,0.013513302
18,0.0112708025,0.0028282236,0.0112708025
19,0.015286826,0.004484391,0.015286826
