class_id,weight_max_abs_diff,bias_abs_diff,row_max_abs_diff
0,0.02444304,0.0076475795,0.02444304
1,0.023486393,0.008478551,0.023486393
2,0.019035123,0.005772276,0.019035123
3,0.019779485,0.0050175567,0.019779485
4,0.018021345,0.005073663,0.018021345
5,0.03093664,0.008472726,0.03093664
6,0.019337894,0.006460067,0.019337894
7,0.014657866,0.003717369,0.014657866
8,0.022653269,0.0045775166,0.022653269
9,0.026869133,0.009006556,0.026869133
10,0.014549017,0.0061737113,0.014549017
11,0.022628907,0.0057977363,0.022628907
12,0.016468257,0.008257905,0.016468257
13,0.024753891,0.0071976366,0.024753891
14,0.013900071,0.002804782,0.013900071
15,0.023141704,0.0076047406,0.023141704
16,0.021867726,0.0052521527,0.021867726
17,0.017431218,0.008278841,0.017431218
18,0.013816696,0.0050979536,0.013816696
19,0.01942439,0.0076723844,0.01942439
20,0.02937039,0.006561773,0.02937039
21,0.023323245,0.006451426,0.023323245
22,0.021684749,0.0068470053,0.021684749
23,0.012024783,0.0051510623,0.012024783
24,0.023383182,0.006615838,0.023383182
25,0.023522945,0.005746044,0.023522945
26,0.013520734,0.005096929,0.013520734
27,0.01759706,0.0047040493,0.01759706
28,0.020964622,0.007294271,0.020964622
29,0.017517587,0.006777401,0.017517587
30,0.015674416,0.0051840506,0.015674416
31,0.023172526,0.009253204,0.023172526
32,0.01823657,0.0062308516,0.01823657
33,0.023228137,0.004144761,0.023228137
34,0.023089277,0.008946165,0.023089277
35,0.023978654,0.008272512,0.023978654
36,0.01693156,0.0053141546,0.01693156
37,0.018335784,0.0035155914,0.018335784
38,0.018599639,0.0054188534,0.018599639
39,0.026699353,0.010529209,0.026699353
40,0.016212003,0.0068284795,0.016212003
41,0.018258221,0.007959511,0.018258221
42,0.020436138,0.006294802,0.020436138
43,0.02765242,0.0083537465,0.02765242
44,0.01317403,0.004603831,0.01317403
45,0.0145258345,0.005207341,0.0145258345
46,0.021396149,0.010613363,0.021396149
47,0.017670795,0.008670987,0.017670795
48,0.021792311,0.009674715,0.021792311
49,0.014134157,0.005608402,0.014134157
50,0.0097459,0.0045547914,0.0097459
51,0.013723925,0.006743202,0.013723925
52,0.019230383,0.007934742,0.019230383
53,0.030758841,0.0115300175,0.030758841
54,0.01465283,0.0028799828,0.01465283
55,0.010824972,0.0048111496,0.010824972
56,0.020960782,0.011172475,0.020960782
57,0.018401733,0.0081843585,0.018401733
58,0.025227506,0.012445152,0.025227506
59,0.016325697,0.0060739126,0.016325697
