method,eval_set,accuracy,loss,orth_loss_type,lambda_orth,use_ipc,lambda_ipc,ipc_top_p,avg_forgetting
rank_extension_orth_trace_lam_0,first_step,0.0,7.333841800689697,trace,0.0,False,0.0,0.1,0.92475
rank_extension_orth_trace_lam_0,later_steps,0.241875,5.210495948791504,trace,0.0,False,0.0,0.1,0.92475
rank_extension_orth_trace_lam_0,all_seen,0.1935,5.635162353515625,trace,0.0,False,0.0,0.1,0.92475
rank_extension_orth_trace_lam_0.01,first_step,0.0,7.3414483070373535,trace,0.01,False,0.0,0.1,0.92575
rank_extension_orth_trace_lam_0.01,later_steps,0.240125,5.222182273864746,trace,0.01,False,0.0,0.1,0.92575
rank_extension_orth_trace_lam_0.01,all_seen,0.1921,5.646033763885498,trace,0.01,False,0.0,0.1,0.92575
rank_extension_orth_qr_lorac_lam_0.01,first_step,0.0,7.293704509735107,qr_lorac,0.01,False,0.0,0.1,0.92525
rank_extension_orth_qr_lorac_lam_0.01,later_steps,0.241,5.217654228210449,qr_lorac,0.01,False,0.0,0.1,0.92525
rank_extension_orth_qr_lorac_lam_0.01,all_seen,0.1928,5.6328654289245605,qr_lorac,0.01,False,0.0,0.1,0.92525
rank_extension_orth_combined_lam_0.01_ipc_1e-05,first_step,0.0,7.357414245605469,combined,0.01,True,1e-05,0.1,0.924125
rank_extension_orth_combined_lam_0.01_ipc_1e-05,later_steps,0.2395,5.2844953536987305,combined,0.01,True,1e-05,0.1,0.924125
rank_extension_orth_combined_lam_0.01_ipc_1e-05,all_seen,0.1916,5.699079990386963,combined,0.01,True,1e-05,0.1,0.924125
