method,eval_set,accuracy,loss
rank_extension,first_step,0.0245,6.707414627075195
rank_extension,later_steps,0.254875,4.783576011657715
rank_extension,all_seen,0.2088,5.168345928192139
rank_extension_orth_trace_lam_1_auto_ratio_tr_0.002,first_step,0.0025,6.672010898590088
rank_extension_orth_trace_lam_1_auto_ratio_tr_0.002,later_steps,0.25925,4.651124000549316
rank_extension_orth_trace_lam_1_auto_ratio_tr_0.002,all_seen,0.2079,5.055304050445557
rank_extension_orth_trace_lam_1_auto_ratio_tr_0.005,first_step,0.044,6.020742416381836
rank_extension_orth_trace_lam_1_auto_ratio_tr_0.005,later_steps,0.2885,4.381118297576904
rank_extension_orth_trace_lam_1_auto_ratio_tr_0.005,all_seen,0.2396,4.709042072296143
rank_extension_orth_trace_lam_1_auto_ratio_tr_0.01,first_step,0.0495,5.817869186401367
rank_extension_orth_trace_lam_1_auto_ratio_tr_0.01,later_steps,0.292875,4.4212236404418945
rank_extension_orth_trace_lam_1_auto_ratio_tr_0.01,all_seen,0.2442,4.700555801391602
rank_extension_orth_trace_lam_1_auto_ratio_tr_0.02,first_step,0.0835,5.343179225921631
rank_extension_orth_trace_lam_1_auto_ratio_tr_0.02,later_steps,0.31925,3.903608560562134
rank_extension_orth_trace_lam_1_auto_ratio_tr_0.02,all_seen,0.2721,4.19152307510376
rank_extension_orth_trace_lam_1_auto_ratio_tr_0.05,first_step,0.122,5.138503551483154
rank_extension_orth_trace_lam_1_auto_ratio_tr_0.05,later_steps,0.342875,3.7824630737304688
rank_extension_orth_trace_lam_1_auto_ratio_tr_0.05,all_seen,0.2987,4.0536699295043945
rank_extension_orth_trace_lam_1_auto_ratio_tr_0.08,first_step,0.1605,4.660455703735352
rank_extension_orth_trace_lam_1_auto_ratio_tr_0.08,later_steps,0.353125,3.6147091388702393
rank_extension_orth_trace_lam_1_auto_ratio_tr_0.08,all_seen,0.3146,3.8238601684570312
rank_extension_orth,first_step,0.1605,4.660455703735352
rank_extension_orth,later_steps,0.353125,3.6147091388702393
rank_extension_orth,all_seen,0.3146,3.8238601684570312
