method,eval_set,accuracy,loss,orth_loss_type,orth_scale_mode,orth_target_ratio,lambda_orth,use_ipc,lambda_ipc,ipc_top_p,avg_forgetting
rank_extension_orth_trace_lam_1_auto_ratio_tr_0.002,first_step,0.0025,6.672010898590088,trace,auto_ratio,0.002,1.0,False,0.0,0.1,0.9145
rank_extension_orth_trace_lam_1_auto_ratio_tr_0.002,later_steps,0.25925,4.651124000549316,trace,auto_ratio,0.002,1.0,False,0.0,0.1,0.9145
rank_extension_orth_trace_lam_1_auto_ratio_tr_0.002,all_seen,0.2079,5.055304050445557,trace,auto_ratio,0.002,1.0,False,0.0,0.1,0.9145
rank_extension_orth_trace_lam_1_auto_ratio_tr_0.005,first_step,0.044,6.020742416381836,trace,auto_ratio,0.005,1.0,False,0.0,0.1,0.87925
rank_extension_orth_trace_lam_1_auto_ratio_tr_0.005,later_steps,0.2885,4.381118297576904,trace,auto_ratio,0.005,1.0,False,0.0,0.1,0.87925
rank_extension_orth_trace_lam_1_auto_ratio_tr_0.005,all_seen,0.2396,4.709042072296143,trace,auto_ratio,0.005,1.0,False,0.0,0.1,0.87925
rank_extension_orth_trace_lam_1_auto_ratio_tr_0.01,first_step,0.0495,5.817869186401367,trace,auto_ratio,0.01,1.0,False,0.0,0.1,0.87425
rank_extension_orth_trace_lam_1_auto_ratio_tr_0.01,later_steps,0.292875,4.4212236404418945,trace,auto_ratio,0.01,1.0,False,0.0,0.1,0.87425
rank_extension_orth_trace_lam_1_auto_ratio_tr_0.01,all_seen,0.2442,4.700555801391602,trace,auto_ratio,0.01,1.0,False,0.0,0.1,0.87425
rank_extension_orth_trace_lam_1_auto_ratio_tr_0.02,first_step,0.0835,5.343179225921631,trace,auto_ratio,0.02,1.0,False,0.0,0.1,0.8387500000000001
rank_extension_orth_trace_lam_1_auto_ratio_tr_0.02,later_steps,0.31925,3.903608560562134,trace,auto_ratio,0.02,1.0,False,0.0,0.1,0.8387500000000001
rank_extension_orth_trace_lam_1_auto_ratio_tr_0.02,all_seen,0.2721,4.19152307510376,trace,auto_ratio,0.02,1.0,False,0.0,0.1,0.8387500000000001
rank_extension_orth_trace_lam_1_auto_ratio_tr_0.05,first_step,0.122,5.138503551483154,trace,auto_ratio,0.05,1.0,False,0.0,0.1,0.8063750000000001
rank_extension_orth_trace_lam_1_auto_ratio_tr_0.05,later_steps,0.342875,3.7824630737304688,trace,auto_ratio,0.05,1.0,False,0.0,0.1,0.8063750000000001
rank_extension_orth_trace_lam_1_auto_ratio_tr_0.05,all_seen,0.2987,4.0536699295043945,trace,auto_ratio,0.05,1.0,False,0.0,0.1,0.8063750000000001
rank_extension_orth_trace_lam_1_auto_ratio_tr_0.08,first_step,0.1605,4.660455703735352,trace,auto_ratio,0.08,1.0,False,0.0,0.1,0.784375
rank_extension_orth_trace_lam_1_auto_ratio_tr_0.08,later_steps,0.353125,3.6147091388702393,trace,auto_ratio,0.08,1.0,False,0.0,0.1,0.784375
rank_extension_orth_trace_lam_1_auto_ratio_tr_0.08,all_seen,0.3146,3.8238601684570312,trace,auto_ratio,0.08,1.0,False,0.0,0.1,0.784375
