method,first_step,later_steps,all_seen
seq_ft_no_replay,8.991137504577637,5.658621311187744,6.325124263763428
simple_avg_no_replay,2.640626907348633,2.866466760635376,2.8213002681732178
simple_avg_orth,1.1398608684539795,1.4726777076721191,1.4061148166656494
simple_avg_replay,2.4528613090515137,2.642648458480835,2.6046910285949707
do_merging_simple,2.4585328102111816,2.6946988105773926,2.647465229034424
do_merging_simple_orth,1.052127480506897,1.4701189994812012,1.386521339416504
rank_extension,6.934604644775391,5.2200822830200195,5.562985897064209
rank_extension_replay,1.0974009037017822,1.0096803903579712,1.0272220373153687
rank_extension_orth,4.660455703735352,3.6147091388702393,3.8238601684570312
rank_extension_replay_orth,1.0683250427246094,1.037532925605774,1.043692708015442
joint_upper_bound,0.4427042305469513,0.48113808035850525,0.47345253825187683
