method,first_step,later_steps,all_seen,old_new_gap,min_old_new,avg_old_new,gap_to_joint_all_seen,first_step_drop_vs_seq_ft
seq_ft_no_replay,0.0,26.55,21.240000000000002,-26.55,0.0,13.275,64.57,0.0
simple_avg_no_replay,62.74999999999999,50.975,53.33,11.774999999999991,50.975,56.8625,32.480000000000004,-62.74999999999999
simple_avg_orth,79.4,64.6625,67.61,14.737500000000011,64.6625,72.03125,18.200000000000003,-79.4
simple_avg_replay,67.25,55.074999999999996,57.50999999999999,12.175000000000004,55.074999999999996,61.162499999999994,28.30000000000001,-67.25
do_merging_simple,57.75,47.4,49.47,10.350000000000001,47.4,52.575,36.34,-57.75
do_merging_simple_orth,79.95,61.8625,65.48,18.087500000000006,61.8625,70.90625,20.33,-79.95
rank_extension,0.4,24.375,19.580000000000002,-23.975,0.4,12.3875,66.23,-0.4
rank_extension_replay,69.95,70.0,69.99,-0.04999999999999716,69.95,69.975,15.820000000000007,-69.95
rank_extension_orth,16.05,35.3125,31.46,-19.2625,16.05,25.68125,54.35,-16.05
rank_extension_replay_orth,71.6,70.975,71.1,0.625,70.975,71.2875,14.710000000000008,-71.6
joint_upper_bound,86.75,85.575,85.81,1.1749999999999972,85.575,86.1625,0.0,-86.75
