method,first_step,later_steps,all_seen,rank_all_seen
simple_avg,67.0,53.55,56.24,1
rank_extension_orth_norm_lam_500,3.6999999999999997,28.8625,23.830000000000002,2
full_finetune,0.0,26.55,21.240000000000002,3
rank_extension_orth_trace_abs_lam_001,0.8,25.95,20.919999999999998,4
rank_extension,0.05,25.575,20.47,5
rank_extension_orth_trace_abs_lam_01,0.3,25.412499999999998,20.39,6
rank_extension_zero_old_merge_orth_norm_lam_500,21.7,19.475,19.919999999999998,7
rank_extension_zero_old_merge_orth_trace_abs_lam_01,23.05,17.8125,18.86,8
rank_extension_zero_old_merge,25.6,16.725,18.5,9
rank_extension_zero_old_merge_orth_trace_abs_lam_001,24.9,16.7875,18.41,10
