method,orth_mode,lambda_orth,zero_old_merge,first_step,later_steps,all_seen,old_new_gap,avg_forgetting
rank_extension,none,0.0,False,0.004,0.229,0.184,-0.225,0.8674999999999999
rank_extension_zero_old_merge,none,0.0,True,0.0485,0.075875,0.0704,-0.027374999999999997,0.8896250000000001
rank_extension_orth_trace_lam_0p01,trace,0.01,False,0.0045,0.228875,0.184,-0.224375,0.8671249999999999
rank_extension_orth_trace_lam_01,trace,0.1,False,0.002,0.22875,0.1834,-0.22675,0.868625
rank_extension_orth_trace_lam_1,trace,1.0,False,0.0,0.2305,0.1844,-0.2305,0.862625
rank_extension_zero_old_merge_orth_trace_lam_0p01,trace,0.01,True,0.051,0.08675,0.0796,-0.03575,0.889875
rank_extension_zero_old_merge_orth_trace_lam_01,trace,0.1,True,0.048,0.076875,0.0711,-0.028874999999999998,0.88925
rank_extension_zero_old_merge_orth_trace_lam_1,trace,1.0,True,0.0425,0.08,0.0725,-0.0375,0.8835
rank_extension_orth_norm_lam_1,norm,1.0,False,0.0025,0.23175,0.1859,-0.22925,0.864625
rank_extension_orth_norm_lam_5,norm,5.0,False,0.003,0.23875,0.1916,-0.23575,0.8568749999999999
rank_extension_orth_norm_lam_10,norm,10.0,False,0.003,0.24025,0.1928,-0.23725,0.8522500000000001
rank_extension_zero_old_merge_orth_norm_lam_1,norm,1.0,True,0.055,0.08825,0.0816,-0.033249999999999995,0.8913749999999999
rank_extension_zero_old_merge_orth_norm_lam_5,norm,5.0,True,0.053,0.089625,0.0823,-0.036625,0.891875
rank_extension_zero_old_merge_orth_norm_lam_10,norm,10.0,True,0.051,0.094125,0.0855,-0.043125000000000004,0.890875
