method,eval_set,accuracy,loss
rank_extension,first_step,0.024,5.495480537414551
rank_extension,later_steps,0.2295,4.101229190826416
rank_extension,all_seen,0.1884,4.380075931549072
rank_extension_replay,first_step,0.523,1.7094570398330688
rank_extension_replay,later_steps,0.49025,1.8170771598815918
rank_extension_replay,all_seen,0.4968,1.795554280281067
rank_extension_orth,first_step,0.001,5.641634941101074
rank_extension_orth,later_steps,0.240375,4.109928607940674
rank_extension_orth,all_seen,0.1925,4.416270732879639
rank_extension_replay_orth,first_step,0.5195,1.7144194841384888
rank_extension_replay_orth,later_steps,0.488125,1.8193873167037964
rank_extension_replay_orth,all_seen,0.4944,1.798393726348877
