method,first_step,later_steps,all_seen,old_new_gap,min_old_new,avg_old_new,gap_to_joint_all_seen
rank_extension,2.0,26.55,21.64,-24.55,2.0,14.275,
rank_extension_replay,71.3,69.9375,70.21,1.3624999999999972,69.9375,70.61875,
rank_extension_orth_lam_3em02,2.1999999999999997,25.525,20.86,-23.325,2.1999999999999997,13.862499999999999,
rank_extension_orth_lam_1em02,1.7500000000000002,25.525,20.77,-23.775,1.7500000000000002,13.6375,
rank_extension_orth_lam_1em03,1.7999999999999998,25.4625,20.73,-23.662499999999998,1.7999999999999998,13.63125,
rank_extension_orth_lam_3em03,1.8499999999999999,25.424999999999997,20.71,-23.574999999999996,1.8499999999999999,13.6375,
rank_extension_replay_orth_lam_1em03,71.39999999999999,69.9875,70.27,1.4124999999999943,69.9875,70.69375,
rank_extension_replay_orth_lam_1em02,71.39999999999999,69.8875,70.19,1.5124999999999886,69.8875,70.64375,
rank_extension_replay_orth_lam_3em02,71.39999999999999,69.8875,70.19,1.5124999999999886,69.8875,70.64375,
rank_extension_replay_orth_lam_3em03,71.2,69.9125,70.17,1.2875000000000085,69.9125,70.55625,
