method,eval_set,accuracy,loss
rank_extension,first_step,0.02,6.435388565063477
rank_extension,later_steps,0.2655,4.444953918457031
rank_extension,all_seen,0.2164,4.843040943145752
rank_extension_replay,first_step,0.713,1.0524994134902954
rank_extension_replay,later_steps,0.699375,1.0036622285842896
rank_extension_replay,all_seen,0.7021,1.0134282112121582
rank_extension_orth_lam_1em03,first_step,0.018,6.247613906860352
rank_extension_orth_lam_1em03,later_steps,0.254625,4.637139797210693
rank_extension_orth_lam_1em03,all_seen,0.2073,4.959235191345215
rank_extension_replay_orth_lam_1em03,first_step,0.714,1.0526721477508545
rank_extension_replay_orth_lam_1em03,later_steps,0.699875,1.004451036453247
rank_extension_replay_orth_lam_1em03,all_seen,0.7027,1.0140953063964844
rank_extension_orth_lam_3em03,first_step,0.0185,6.266471862792969
rank_extension_orth_lam_3em03,later_steps,0.25425,4.646826267242432
rank_extension_orth_lam_3em03,all_seen,0.2071,4.970753192901611
rank_extension_replay_orth_lam_3em03,first_step,0.712,1.0535544157028198
rank_extension_replay_orth_lam_3em03,later_steps,0.699125,1.0050029754638672
rank_extension_replay_orth_lam_3em03,all_seen,0.7017,1.0147135257720947
rank_extension_orth_lam_1em02,first_step,0.0175,6.278569221496582
rank_extension_orth_lam_1em02,later_steps,0.25525,4.652651309967041
rank_extension_orth_lam_1em02,all_seen,0.2077,4.9778337478637695
rank_extension_replay_orth_lam_1em02,first_step,0.714,1.0523511171340942
rank_extension_replay_orth_lam_1em02,later_steps,0.698875,1.0065584182739258
rank_extension_replay_orth_lam_1em02,all_seen,0.7019,1.0157172679901123
rank_extension_orth_lam_3em02,first_step,0.022,6.337032318115234
rank_extension_orth_lam_3em02,later_steps,0.25525,4.677157402038574
rank_extension_orth_lam_3em02,all_seen,0.2086,5.009130477905273
rank_extension_replay_orth_lam_3em02,first_step,0.714,1.0501153469085693
rank_extension_replay_orth_lam_3em02,later_steps,0.698875,1.0084854364395142
rank_extension_replay_orth_lam_3em02,all_seen,0.7019,1.0168108940124512
