method,first_step,later_steps,all_seen
rank_extension,2.0,26.55,21.64
rank_extension_replay,71.3,69.9375,70.21
rank_extension_orth_lam_3em02,2.1999999999999997,25.525,20.86
rank_extension_orth_lam_1em02,1.7500000000000002,25.525,20.77
rank_extension_orth_lam_1em03,1.7999999999999998,25.4625,20.73
rank_extension_orth_lam_3em03,1.8499999999999999,25.424999999999997,20.71
rank_extension_replay_orth_lam_1em03,71.39999999999999,69.9875,70.27
rank_extension_replay_orth_lam_1em02,71.39999999999999,69.8875,70.19
rank_extension_replay_orth_lam_3em02,71.39999999999999,69.8875,70.19
rank_extension_replay_orth_lam_3em03,71.2,69.9125,70.17
