method,first_step,later_steps,all_seen
rank_extension,6.435388565063477,4.444953918457031,4.843040943145752
rank_extension_replay,1.0524994134902954,1.0036622285842896,1.0134282112121582
rank_extension_orth_lam_3em02,6.337032318115234,4.677157402038574,5.009130477905273
rank_extension_orth_lam_1em02,6.278569221496582,4.652651309967041,4.9778337478637695
rank_extension_orth_lam_1em03,6.247613906860352,4.637139797210693,4.959235191345215
rank_extension_orth_lam_3em03,6.266471862792969,4.646826267242432,4.970753192901611
rank_extension_replay_orth_lam_1em03,1.0526721477508545,1.004451036453247,1.0140953063964844
rank_extension_replay_orth_lam_1em02,1.0523511171340942,1.0065584182739258,1.0157172679901123
rank_extension_replay_orth_lam_3em02,1.0501153469085693,1.0084854364395142,1.0168108940124512
rank_extension_replay_orth_lam_3em03,1.0535544157028198,1.0050029754638672,1.0147135257720947
