experiment,method,step,eval_type,eval_accuracy,eval_loss
step1_pretrained,full_finetune,1,current,0.5495,1.4932411909103394
step2_lora,lora,2,seen_so_far,0.45375,2.008002996444702
step3_lora,lora,3,seen_so_far,0.41333333333333333,2.220296859741211
step4_lora,lora,4,seen_so_far,0.389625,2.3636727333068848
step5_lora,lora,5,seen_so_far,0.3695,2.4824721813201904
step2_full_finetune,full_finetune,2,seen_so_far,0.50025,1.7898892164230347
step3_full_finetune,full_finetune,3,seen_so_far,0.5,1.8295024633407593
step4_full_finetune,full_finetune,4,seen_so_far,0.51225,1.8675464391708374
step5_full_finetune,full_finetune,5,seen_so_far,0.5064,1.9492554664611816
lora_final,lora,5,first_step,0.387,2.552255868911743
lora_final,lora,5,later_steps,0.365125,2.46502685546875
lora_final,lora,5,all_seen,0.3695,2.4824721813201904
ft_final,full_finetune,5,first_step,0.4965,2.0697641372680664
ft_final,full_finetune,5,later_steps,0.508875,1.9191293716430664
ft_final,full_finetune,5,all_seen,0.5064,1.9492554664611816
joint_final,joint_upper_bound,0,first_step,0.4695,1.9946904182434082
joint_final,joint_upper_bound,0,later_steps,0.50275,1.8934681415557861
joint_final,joint_upper_bound,0,all_classes,0.4961,1.913711667060852
