method,adapter_name,step,eval_stage,eval_set,accuracy,loss
Full FT,,1,step,current_step,0.5925,1.3983126878738403
LoRA + Replay,L1,2,step,current_step,0.4925,2.0785539150238037
LoRA + Replay,L1,2,step,first_step,0.3555,2.742245674133301
LoRA + Replay,L1,2,step,later_steps_seen_so_far,0.4925,2.0785539150238037
LoRA + Replay,L1,2,step,all_seen,0.424,2.410399913787842
LoRA + Replay,L2,3,step,current_step,0.5015,2.059413194656372
LoRA + Replay,L2,3,step,first_step,0.3425,2.887660026550293
LoRA + Replay,L2,3,step,later_steps_seen_so_far,0.35075,2.621009111404419
LoRA + Replay,L2,3,step,all_seen,0.348,2.709892511367798
LoRA + Replay,L3,4,step,current_step,0.4815,2.1568920612335205
LoRA + Replay,L3,4,step,first_step,0.3345,3.0200634002685547
LoRA + Replay,L3,4,step,later_steps_seen_so_far,0.28683333333333333,2.8914413452148438
LoRA + Replay,L3,4,step,all_seen,0.29875,2.9235951900482178
LoRA + Replay,L4,5,step,current_step,0.5195,2.2049522399902344
LoRA + Replay,L4,5,step,first_step,0.304,3.1722655296325684
LoRA + Replay,L4,5,step,later_steps_seen_so_far,0.26,3.0354936122894287
LoRA + Replay,L4,5,step,all_seen,0.2688,3.0628480911254883
FT + Replay,,2,step,current_step,0.4625,1.880963921546936
FT + Replay,,2,step,first_step,0.353,2.607670307159424
FT + Replay,,2,step,later_steps_seen_so_far,0.4625,1.880963921546936
FT + Replay,,2,step,all_seen,0.40775,2.2443203926086426
FT + Replay,,3,step,current_step,0.4805,1.8501942157745361
FT + Replay,,3,step,first_step,0.34,2.713505744934082
FT + Replay,,3,step,later_steps_seen_so_far,0.36,2.35920786857605
FT + Replay,,3,step,all_seen,0.35333333333333333,2.4773077964782715
FT + Replay,,4,step,current_step,0.462,1.9490736722946167
FT + Replay,,4,step,first_step,0.3335,2.843705892562866
FT + Replay,,4,step,later_steps_seen_so_far,0.3095,2.594040870666504
FT + Replay,,4,step,all_seen,0.3155,2.6564579010009766
FT + Replay,,5,step,current_step,0.515,1.9659030437469482
FT + Replay,,5,step,first_step,0.3395,2.8398120403289795
FT + Replay,,5,step,later_steps_seen_so_far,0.306,2.6899361610412598
FT + Replay,,5,step,all_seen,0.3127,2.719911813735962
Merged LoRA,L1234_avg,5,final,first_step,0.5655,1.835430383682251
Merged LoRA,L1234_avg,5,final,later_steps,0.063375,4.327446937561035
Merged LoRA,L1234_avg,5,final,all_seen,0.1638,3.829043388366699
Weighted Merged LoRA,L1234_weighted_newer,5,final,first_step,0.506,2.2303881645202637
Weighted Merged LoRA,L1234_weighted_newer,5,final,later_steps,0.144875,3.457404375076294
Weighted Merged LoRA,L1234_weighted_newer,5,final,all_seen,0.2171,3.212001085281372
Weighted Balanced Merged LoRA,L1234_weighted_balanced,5,final,first_step,0.553,1.9565285444259644
Weighted Balanced Merged LoRA,L1234_weighted_balanced,5,final,later_steps,0.083375,3.899132251739502
Weighted Balanced Merged LoRA,L1234_weighted_balanced,5,final,all_seen,0.1773,3.5106112957000732
Old-Friendly Merged LoRA,L1234_weighted_old_friendly,5,final,first_step,0.5775,1.6915385723114014
Old-Friendly Merged LoRA,L1234_weighted_old_friendly,5,final,later_steps,0.035625,5.035932540893555
Old-Friendly Merged LoRA,L1234_weighted_old_friendly,5,final,all_seen,0.144,4.367053508758545
Pairwise Merged LoRA,M1234_pairwise,5,final,first_step,0.5655,1.8354302644729614
Pairwise Merged LoRA,M1234_pairwise,5,final,later_steps,0.063375,4.327446937561035
Pairwise Merged LoRA,M1234_pairwise,5,final,all_seen,0.1638,3.829043388366699
Full FT,,5,final,first_step,0.3395,2.8398120403289795
Full FT,,5,final,later_steps,0.306,2.6899361610412598
Full FT,,5,final,all_seen,0.3127,2.719911813735962
Joint,,5,final,first_step,0.509,1.96229887008667
Joint,,5,final,later_steps,0.525625,1.8940861225128174
Joint,,5,final,all_seen,0.5223,1.9077280759811401
