loss,grad_norm,learning_rate,epoch,step,eval_loss,eval_accuracy,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
7.666919555664062,8.468544006347656,7.802547770700637e-06,0.3194888178913738,50,,,,,,,,,,
6.225364990234375,8.537568092346191,1.5764331210191083e-05,0.6389776357827476,100,,,,,,,,,,
6.033139038085937,5.810716152191162,2.372611464968153e-05,0.9584664536741214,150,,,,,,,,,,
,,,1.0,157,2.9425599575042725,0.2305,1.8901,1058.15,33.332,,,,,
5.752286376953125,6.4287896156311035,3.1687898089171976e-05,1.2747603833865815,200,,,,,,,,,,
5.7146453857421875,6.716687202453613,3.9649681528662416e-05,1.5942492012779552,250,,,,,,,,,,
5.6637811279296875,6.985269546508789,4.761146496815287e-05,1.9137380191693292,300,,,,,,,,,,
,,,2.0,314,2.7823636531829834,0.303,1.8663,1071.636,33.757,,,,,
5.443950805664063,7.191257953643799,5.5573248407643317e-05,2.230031948881789,350,,,,,,,,,,
5.45497314453125,6.873806953430176,6.353503184713376e-05,2.549520766773163,400,,,,,,,,,,
5.3709228515625,5.969384670257568,7.14968152866242e-05,2.8690095846645365,450,,,,,,,,,,
,,,3.0,471,2.646768569946289,0.3295,1.8681,1070.61,33.724,,,,,
5.25275390625,6.0085015296936035,7.945859872611465e-05,3.1853035143769968,500,,,,,,,,,,
5.15412841796875,6.279971599578857,8.74203821656051e-05,3.5047923322683707,550,,,,,,,,,,
5.142034301757812,4.925881862640381,9.538216560509554e-05,3.8242811501597442,600,,,,,,,,,,
,,,4.0,628,2.5851078033447266,0.3585,1.8611,1074.63,33.851,,,,,
4.964438781738282,5.084876537322998,0.00010334394904458599,4.140575079872204,650,,,,,,,,,,
4.9815966796875,5.695647239685059,0.00011130573248407644,4.460063897763578,700,,,,,,,,,,
4.9986114501953125,5.337374687194824,0.00011926751592356688,4.779552715654952,750,,,,,,,,,,
,,,5.0,785,2.477440357208252,0.3935,2.0849,959.259,30.217,,,,,
4.861069946289063,5.675536155700684,0.00012722929936305732,5.095846645367412,800,,,,,,,,,,
4.772261047363282,7.675471782684326,0.00013519108280254778,5.415335463258786,850,,,,,,,,,,
4.86513916015625,5.469941139221191,0.0001431528662420382,5.73482428115016,900,,,,,,,,,,
,,,6.0,942,2.513089895248413,0.389,1.9658,1017.405,32.048,,,,,
4.772731628417969,6.0229668617248535,0.00015111464968152867,6.05111821086262,950,,,,,,,,,,
4.658235778808594,4.909099578857422,0.0001590764331210191,6.3706070287539935,1000,,,,,,,,,,
4.726541137695312,5.9778265953063965,0.00016703821656050954,6.6900958466453675,1050,,,,,,,,,,
,,,7.0,1099,2.5665338039398193,0.3545,2.007,996.526,31.391,,,,,
4.761851806640625,6.816880702972412,0.000175,7.006389776357827,1100,,,,,,,,,,
4.6338128662109375,4.598112106323242,0.00018296178343949043,7.325878594249201,1150,,,,,,,,,,
4.6527230834960935,4.5966291427612305,0.00019092356687898092,7.645367412140575,1200,,,,,,,,,,
4.665433959960938,5.2033610343933105,0.00019888535031847135,7.964856230031949,1250,,,,,,,,,,
,,,8.0,1256,2.366096258163452,0.4225,1.9844,1007.87,31.748,,,,,
4.47884033203125,5.6329121589660645,0.00020684713375796179,8.281150159744408,1300,,,,,,,,,,
4.627514038085938,4.318055152893066,0.00021480891719745225,8.600638977635782,1350,,,,,,,,,,
4.664938049316406,5.112100601196289,0.00022277070063694268,8.920127795527156,1400,,,,,,,,,,
,,,9.0,1413,2.3895673751831055,0.4295,1.9251,1038.897,32.725,,,,,
4.509263610839843,4.544897556304932,0.00023073248407643314,9.236421725239616,1450,,,,,,,,,,
4.544219970703125,4.923698425292969,0.00023869426751592357,9.55591054313099,1500,,,,,,,,,,
4.557870483398437,4.62772798538208,0.00024665605095541403,9.875399361022364,1550,,,,,,,,,,
,,,10.0,1570,2.34266996383667,0.437,1.8866,1060.093,33.393,,,,,
4.451210021972656,3.4505982398986816,0.00025461783439490447,10.191693290734824,1600,,,,,,,,,,
4.504567565917969,4.683292865753174,0.00026257961783439495,10.511182108626198,1650,,,,,,,,,,
4.600242004394532,3.9102509021759033,0.0002705414012738854,10.830670926517572,1700,,,,,,,,,,
,,,11.0,1727,2.2918851375579834,0.447,1.9045,1050.168,33.08,,,,,
4.3797265625,5.115739822387695,0.0002785031847133758,11.146964856230031,1750,,,,,,,,,,
4.49150390625,4.585949897766113,0.00028646496815286625,11.466453674121405,1800,,,,,,,,,,
4.54612548828125,3.9857873916625977,0.0002944267515923567,11.78594249201278,1850,,,,,,,,,,
,,,12.0,1884,2.34309458732605,0.4445,1.88,1063.843,33.511,,,,,
4.4545462036132815,6.418581485748291,0.0003023885350318472,12.10223642172524,1900,,,,,,,,,,
4.5448370361328125,4.728628158569336,0.0003103503184713376,12.421725239616613,1950,,,,,,,,,,
4.468956298828125,5.410792827606201,0.00031831210191082804,12.741214057507987,2000,,,,,,,,,,
,,,13.0,2041,2.48189640045166,0.404,1.9147,1044.553,32.903,,,,,
4.562585144042969,3.725318193435669,0.0003262738853503185,13.057507987220447,2050,,,,,,,,,,
