loss,grad_norm,learning_rate,epoch,step,eval_loss,eval_accuracy,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
7.973818359375,6.50823974609375,2.352e-06,0.08,50,,,,,,,,,,
6.46177734375,5.228583812713623,4.752e-06,0.16,100,,,,,,,,,,
4.32019775390625,4.134566783905029,7.152e-06,0.24,150,,,,,,,,,,
3.26952392578125,3.5899767875671387,9.552000000000001e-06,0.32,200,,,,,,,,,,
2.91482421875,3.228135824203491,1.1952e-05,0.4,250,,,,,,,,,,
2.7227001953125,3.6305627822875977,1.4352e-05,0.48,300,,,,,,,,,,
2.489329833984375,3.5765933990478516,1.6752e-05,0.56,350,,,,,,,,,,
2.29548828125,3.7684082984924316,1.9152e-05,0.64,400,,,,,,,,,,
2.0120169067382814,4.594828128814697,2.1552000000000003e-05,0.72,450,,,,,,,,,,
1.93591796875,3.1586639881134033,2.3952e-05,0.8,500,,,,,,,,,,
1.757990264892578,4.861209392547607,2.6351999999999998e-05,0.88,550,,,,,,,,,,
1.7182275390625,6.080493927001953,2.8752000000000002e-05,0.96,600,,,,,,,,,,
,,,1.0,625,1.6688839197158813,0.4955,1.8701,1069.486,33.689,,,,,
1.6087568664550782,3.2191946506500244,2.9993178646510266e-05,1.04,650,,,,,,,,,,
1.6135671997070313,6.571597576141357,2.9935191577532162e-05,1.12,700,,,,,,,,,,
1.5242625427246095,4.529325008392334,2.9818262130637534e-05,1.2,750,,,,,,,,,,
1.4826351928710937,6.02631950378418,2.9642851772933292e-05,1.28,800,,,,,,,,,,
1.4706878662109375,3.908026695251465,2.9409652768963922e-05,1.3599999999999999,850,,,,,,,,,,
1.4493081665039063,4.39058780670166,2.9119585448659604e-05,1.44,900,,,,,,,,,,
1.4114743041992188,4.205836772918701,2.8773794575214426e-05,1.52,950,,,,,,,,,,
1.4335101318359376,3.978635787963867,2.8373644827229052e-05,1.6,1000,,,,,,,,,,
1.4677735900878905,6.743905067443848,2.792071541294775e-05,1.6800000000000002,1050,,,,,,,,,,
1.3994088745117188,5.4207305908203125,2.741679383784492e-05,1.76,1100,,,,,,,,,,
1.3278460693359375,3.561110258102417,2.6863868850157626e-05,1.8399999999999999,1150,,,,,,,,,,
1.314058837890625,5.052783966064453,2.6264122592204872e-05,1.92,1200,,,,,,,,,,
1.3171148681640625,5.057824611663818,2.561992198846879e-05,2.0,1250,,,,,,,,,,
,,,2.0,1250,1.3757976293563843,0.577,1.8695,1069.824,33.699,,,,,
1.2674835968017577,5.502938747406006,2.4933809404425076e-05,2.08,1300,,,,,,,,,,
1.3137144470214843,4.164591312408447,2.4208492612987913e-05,2.16,1350,,,,,,,,,,
1.266115951538086,6.859790802001953,2.34468341081674e-05,2.24,1400,,,,,,,,,,
1.1942598724365234,6.105098247528076,2.265183980811337e-05,2.32,1450,,,,,,,,,,
1.2270553588867188,5.461740493774414,2.1826647192129807e-05,2.4,1500,,,,,,,,,,
1.1641818237304689,4.18408203125,2.0974512918477344e-05,2.48,1550,,,,,,,,,,
1.2336144256591797,5.549195289611816,2.009879997183097e-05,2.56,1600,,,,,,,,,,
1.1967967224121094,6.29808235168457,1.9202964391115905e-05,2.64,1650,,,,,,,,,,
1.2609963989257813,4.848466396331787,1.829054163010089e-05,2.7199999999999998,1700,,,,,,,,,,
1.2692434692382812,6.672471523284912,1.736513260457734e-05,2.8,1750,,,,,,,,,,
1.2020325469970703,7.87716007232666,1.643038948118983e-05,2.88,1800,,,,,,,,,,
1.136657485961914,4.274391174316406,1.5490001264002858e-05,2.96,1850,,,,,,,,,,
,,,3.0,1875,1.2748154401779175,0.5915,1.8384,1087.924,34.27,,,,,
1.1297506713867187,5.177556991577148,1.4547679235687147e-05,3.04,1900,,,,,,,,,,
1.1530453491210937,6.493913173675537,1.3607142310782486e-05,3.12,1950,,,,,,,,,,
1.1580117797851563,6.025426864624023,1.267210235884101e-05,3.2,2000,,,,,,,,,,
