experiment,method,step,eval_type,eval_accuracy,eval_loss
rankext_no_ortho_step_eval,RankExt,2,current_step,0.3924,2.135674238204956
rankext_no_ortho_step_eval,RankExt,2,first_step,0.0172,5.65854549407959
rankext_no_ortho_step_eval,RankExt,2,later_steps,0.3924,2.135674238204956
rankext_no_ortho_step_eval,RankExt,2,all_seen,0.2048,3.8971102237701416
rankext_ortho_step_eval,RankExt+Ortho,2,current_step,0.3918,2.1382086277008057
rankext_ortho_step_eval,RankExt+Ortho,2,first_step,0.015,5.763160705566406
rankext_ortho_step_eval,RankExt+Ortho,2,later_steps,0.3918,2.1382086277008057
rankext_ortho_step_eval,RankExt+Ortho,2,all_seen,0.2034,3.9506843090057373
ft_step_2,full_finetune,2,current_step,0.5464,1.5685781240463257
ft_step_2,full_finetune,2,first_step,0.0,8.468267440795898
ft_step_2,full_finetune,2,later_steps_seen_so_far,0.5464,1.5685781240463257
ft_step_2,full_finetune,2,all_seen,0.2732,5.018422603607178
rankext_no_ortho_final_eval,RankExt,2,first_step,0.0172,5.658629894256592
rankext_no_ortho_final_eval,RankExt,2,later_steps,0.3922,2.1357057094573975
rankext_no_ortho_final_eval,RankExt,2,all_seen,0.2047,3.897167921066284
rankext_ortho_final_eval,RankExt+Ortho,2,first_step,0.0152,5.762980937957764
rankext_ortho_final_eval,RankExt+Ortho,2,later_steps,0.3922,2.1382062435150146
rankext_ortho_final_eval,RankExt+Ortho,2,all_seen,0.2037,3.950594425201416
ft_final_eval,full_finetune,2,first_step,0.0,8.468267440795898
ft_final_eval,full_finetune,2,later_steps,0.5464,1.5685781240463257
ft_final_eval,full_finetune,2,all_seen,0.2732,5.018422603607178
joint_final_eval,joint_upper_bound,2,first_step,0.4966,1.9566879272460938
joint_final_eval,joint_upper_bound,2,later_steps,0.5078,1.900294303894043
joint_final_eval,joint_upper_bound,2,all_seen,0.5022,1.9284909963607788
