method,adapter_name,step,eval_stage,eval_set,accuracy,loss
Full FT,FT_final,2,final,all_seen,0.2732,5.018422603607178
Full FT,FT_final,2,final,first_step,0.0,8.468267440795898
Full FT,FT_final,2,final,later_steps,0.5464,1.5685781240463257
Full FT,FT_s2,2,step,all_seen,0.2732,5.018422603607178
Full FT,FT_s2,2,step,current_step,0.5464,1.5685781240463257
Full FT,FT_s2,2,step,first_step,0.0,8.468267440795898
Full FT,FT_s2,2,step,later_steps_seen_so_far,0.5464,1.5685781240463257
Joint,Joint_final,2,final,all_seen,0.5022,1.9284909963607788
Joint,Joint_final,2,final,first_step,0.4966,1.9566879272460938
Joint,Joint_final,2,final,later_steps,0.5078,1.900294303894043
RankExt,RankExt_final,2,final,all_seen,0.2047,3.897167921066284
RankExt,RankExt_final,2,final,first_step,0.0172,5.658629894256592
RankExt,RankExt_final,2,final,later_steps,0.3922,2.1357057094573975
RankExt,RankExt_s2,2,step,all_seen,0.2048,3.8971102237701416
RankExt,RankExt_s2,2,step,current_step,0.3924,2.135674238204956
RankExt,RankExt_s2,2,step,first_step,0.0172,5.65854549407959
RankExt,RankExt_s2,2,step,later_steps,0.3924,2.135674238204956
RankExt+Ortho,RankExt+Ortho_final,2,final,all_seen,0.2037,3.950594425201416
RankExt+Ortho,RankExt+Ortho_final,2,final,first_step,0.0152,5.762980937957764
RankExt+Ortho,RankExt+Ortho_final,2,final,later_steps,0.3922,2.1382062435150146
RankExt+Ortho,RankExt+Ortho_s2,2,step,all_seen,0.2034,3.9506843090057373
RankExt+Ortho,RankExt+Ortho_s2,2,step,current_step,0.3918,2.1382086277008057
RankExt+Ortho,RankExt+Ortho_s2,2,step,first_step,0.015,5.763160705566406
RankExt+Ortho,RankExt+Ortho_s2,2,step,later_steps,0.3918,2.1382086277008057
