method,adapter_name,step,eval_stage,eval_set,accuracy,loss
Rank-Extension LoRA,RankExt_s2,2,step,current_step,0.4925,1.9899110794067383
Rank-Extension LoRA,RankExt_s2,2,step,first_step,0.0185,6.060269355773926
Rank-Extension LoRA,RankExt_s2,2,step,later_steps_seen_so_far,0.4925,1.9899110794067383
Rank-Extension LoRA,RankExt_s2,2,step,all_seen,0.2555,4.0250959396362305
Rank-Extension LoRA,RankExt_s3,3,step,current_step,0.5135,1.8740273714065552
Rank-Extension LoRA,RankExt_s3,3,step,first_step,0.0015,6.354901313781738
Rank-Extension LoRA,RankExt_s3,3,step,later_steps_seen_so_far,0.25825,3.71566104888916
Rank-Extension LoRA,RankExt_s3,3,step,all_seen,0.17266666666666666,4.595406532287598
Rank-Extension LoRA,RankExt_s4,4,step,current_step,0.4925,1.9370049238204956
Rank-Extension LoRA,RankExt_s4,4,step,first_step,0.003,6.547247886657715
Rank-Extension LoRA,RankExt_s4,4,step,later_steps_seen_so_far,0.166,4.634987831115723
Rank-Extension LoRA,RankExt_s4,4,step,all_seen,0.12525,5.113051891326904
Rank-Extension LoRA,RankExt_s5,5,step,current_step,0.543,1.8491061925888062
Rank-Extension LoRA,RankExt_s5,5,step,first_step,0.002,6.942020416259766
Rank-Extension LoRA,RankExt_s5,5,step,later_steps_seen_so_far,0.138,5.218801498413086
Rank-Extension LoRA,RankExt_s5,5,step,all_seen,0.1108,5.563443183898926
Full FT,,2,step,current_step,0.5665,1.4198862314224243
Full FT,,2,step,first_step,0.0015,9.13732624053955
Full FT,,2,step,later_steps_seen_so_far,0.5665,1.4198862314224243
Full FT,,2,step,all_seen,0.284,5.2786102294921875
Full FT,,3,step,current_step,0.5975,1.240472674369812
Full FT,,3,step,first_step,0.0005,10.20921516418457
Full FT,,3,step,later_steps_seen_so_far,0.29875,4.153421878814697
Full FT,,3,step,all_seen,0.19933333333333333,6.172023296356201
Full FT,,4,step,current_step,0.598,1.2937859296798706
Full FT,,4,step,first_step,0.0,10.806769371032715
Full FT,,4,step,later_steps_seen_so_far,0.19966666666666666,5.454992294311523
Full FT,,4,step,all_seen,0.14975,6.79293966293335
Full FT,,5,step,current_step,0.6475,1.1440898180007935
Full FT,,5,step,first_step,0.0,10.106308937072754
Full FT,,5,step,later_steps_seen_so_far,0.163,6.276469707489014
Full FT,,5,step,all_seen,0.1304,7.042436599731445
Rank-Extension LoRA,RankExt_final,5,final,first_step,0.002,6.942020416259766
Rank-Extension LoRA,RankExt_final,5,final,later_steps,0.138,5.218801498413086
Rank-Extension LoRA,RankExt_final,5,final,all_seen,0.1108,5.563443183898926
Full FT,,5,final,first_step,0.0,10.106308937072754
Full FT,,5,final,later_steps,0.163,6.276469707489014
Full FT,,5,final,all_seen,0.1304,7.042436599731445
Joint,,5,final,first_step,0.234,3.139493703842163
Joint,,5,final,later_steps,0.2695,2.9736554622650146
Joint,,5,final,all_seen,0.2624,3.006824016571045
